,center_x,center_y,density
272,-71.09178884302797,42.36015803702373,525.0
658,-71.08648676062496,42.361830575737,508.0
228,-71.10239300783397,42.363503114450275,346.0
288,-71.08825412142596,42.363503114450275,293.0
211,-71.10592772943596,42.356812959597185,289.0
603,-71.10062564703296,42.36517565316355,278.0
156,-71.12006661584395,42.37353834672991,254.0
588,-71.10416036863496,42.361830575737,252.0
303,-71.08471939982397,42.363503114450275,239.0
229,-71.10239300783397,42.36684819187682,231.0
