#;activity;batteryLife;color;color_map;current_edge;current_path;destination;distancePerCycle;distanceTraveledBike;heading;index;last_trip_day;last_trip_h;location;name;real_speed;rider;speed;state;states;target;travelledPath
184;1;24058.589401987443;#mediumslateblue;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);road(2204);([road(12322),road(12044),road(12043),road(9737),road(9735),road(11111),road(7520),road(1967),road(1966),road(1915),road(1912),road(1906),road(1904),road(1908),road(1993),road(1989),road(1990),road(1995),road(2017),road(2018),road(2023),road(2048),road(2052),road(2363),road(10879),road(11115),road(2189),road(2185),road(2184),road(2187),road(2215),road(2212),road(2211),road(2213),road(2205),road(2202),road(2204)]) as path;{2004.793083276245,2610.29747877311,0.0};0.0;1709.2771615484326;90.37493356525574;184;1;8;{2004.8258021686806,2605.2975858268483,0.0};'autonomousBike184';2.2222222222222223;people(399);1.0;'in_use_people';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];{1999.3428683179566,2616.5042457580566,0.0};([polyline ([{2004.854101639496,2594.1871523178393,0.0},{2004.8896742070792,2595.537067347206,0.0}]),polyline ([{2004.8896742070792,2595.537067347206,0.0},{2004.8258021686806,2605.2975858268483,0.0}])]) as path
185;0;24044.790049448307;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);nil;nil;{1298.2400687270583,1991.3859983616662,0.0};0.0;0.0;93.68083845572188;185;7;12;{1298.5610615755431,1986.3963126409799,0.0};'autonomousBike185';0.0;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;nil
186;0;35690.48278026187;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);nil;nil;{1775.8521016846316,1952.0702658022205,0.0};0.0;0.0;175.7404096020346;186;7;12;{1780.838290517393,1951.6988887377083,0.0};'autonomousBike186';0.0;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;nil
187;1;68079.23248271555;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);road(2706);([road(3327),road(3328),road(3332),road(10872),road(10877),road(10874),road(10873),road(10875),road(9610),road(9607),road(9597),road(8396),road(8397),road(8392),road(8393),road(7992),road(7991),road(7986),road(7983),road(7985),road(7989),road(9115),road(2082),road(2080),road(7579),road(7580),road(7581),road(7582),road(7589),road(8016),road(10656),road(8009),road(8003),road(8004),road(8011),road(2128),road(2124),road(2126),road(2131),road(9311),road(2117),road(2114),road(2116),road(2123),road(2706)]) as path;{1367.335536007077,2634.853580209578,0.0};0.0;1479.9512276342707;239.9903890444141;187;1;8;{1369.8362623196153,2639.1832878105342,0.0};'autonomousBike187';2.0794042614629484;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;([polyline ([{1375.03628327066,2648.186500246851,0.0},{1369.8362623196153,2639.1832878105342,0.0}])]) as path
188;0;48499.053347954046;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);nil;nil;{6517.723294594926,3902.646358857527,0.0};0.0;0.0;19.163901443087287;188;7;12;{6513.000377687451,3901.0050009181723,0.0};'autonomousBike188';0.0;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;nil
189;1;46788.7937550274;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);road(12349);([road(3553),road(3672),road(3673),road(3628),road(3627),road(3630),road(3632),road(3631),road(3634),road(3651),road(3655),road(1781),road(1377),road(1378),road(1398),road(1397),road(1382),road(565),road(556),road(557),road(573),road(575),road(203),road(205),road(217),road(214),road(216),road(223),road(9869),road(1567),road(1558),road(1556),road(45),road(46),road(1509),road(1508),road(1513),road(1613),road(1609),road(26),road(27),road(1615),road(1626),road(1629),road(1714),road(1718),road(1723),road(1724),road(10067),road(10068),road(12134),road(12349)]) as path;{1838.177731752027,1904.0612213279949,0.0};0.0;3093.539028440032;107.92412138266728;189;1;8;{1839.7165177993302,1899.3038967121392,0.0};'autonomousBike189';0.8462679222022604;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;([polyline ([{1841.0187430702952,1895.2779254942375,0.0},{1839.7165177993302,1899.3038967121392,0.0}])]) as path
190;0;52601.645942869975;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);nil;nil;{5072.711638136834,333.6859816850623,0.0};0.0;0.0;292.79564867807557;190;7;12;{5070.774410264159,338.2954445788637,0.0};'autonomousBike190';0.0;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;nil
191;1;66376.78374869945;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);road(1277);([road(1855),road(1856),road(1857),road(1876),road(1868),road(1862),road(1859),road(1852),road(1851),road(1819),road(1814),road(1812),road(1816),road(7521),road(10259),road(11111),road(2008),road(2009),road(11151),road(8322),road(1503),road(42),road(43),road(1506),road(1590),road(1585),road(1584),road(1588),road(1610),road(26),road(27),road(1615),road(1616),road(1617),road(1621),road(1618),road(1620),road(1624),road(1720),road(1191),road(1188),road(1144),road(1140),road(1139),road(1142),road(1148),road(1151),road(1161),road(1176),road(7893),road(7896),road(10841),road(1315),road(1313),road(1282),road(1278),road(1277)]) as path;{1471.3035217199288,2239.6891403880595,0.0};0.0;2483.393912615435;101.59446248423858;191;1;8;{1472.308437951596,2234.791166994162,0.0};'autonomousBike191';0.43347053212931785;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;([polyline ([{1475.3389058963296,2233.200428080445,0.0},{1474.9033043226434,2235.323555213853,0.0}])]) as path
192;1;54859.869906096515;#mediumslateblue;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);road(8270);([road(8270),road(8273),road(8279),road(8278),road(8280),road(8282),road(2601),road(2600),road(2611),road(10609),road(10088),road(10087),road(1329),road(1328),road(9100),road(1309),road(1308),road(9098),road(11027),road(1325),road(1323),road(1231),road(1229),road(1228),road(1227),road(1238),road(1175),road(1168),road(1159),road(1151),road(1148),road(1142),road(1139),road(1140),road(1144),road(1188),road(1191),road(1720),road(1624),road(1620),road(1618),road(1621),road(1617),road(1616),road(1615),road(27),road(26),road(1610),road(1588),road(1584),road(1585),road(1590),road(1506),road(43),road(42),road(1503),road(8322),road(11151),road(2009),road(2010),road(9733),road(9736),road(10252),road(10253),road(10257),road(5975),road(1801),road(1799),road(1543),road(1539),road(1533),road(1529),road(1528),road(1532)]) as path;{610.0030738814968,2307.1805852072775,0.0};0.0;3664.313770826783;315.8680407821237;192;1;8;{606.4143838296084,2310.662151480017,0.0};'autonomousBike192';2.2222222222222223;people(410);1.0;'in_use_people';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];{3359.7775678261396,2111.642790312879,0.0};([polyline ([{598.4395170476341,2318.3989654194384,0.0},{606.4143838296084,2310.662151480017,0.0}])]) as path
193;0;39990.47844535065;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);nil;nil;{6052.646928392062,2534.7189583141144,0.0};0.0;0.0;34.015578897556786;193;7;12;{6048.502500913804,2531.9218668108806,0.0};'autonomousBike193';0.0;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;nil
