activity_id,start_latitude,start_longitude,end_latitude,end_longitude,travel_purpose,start_time,end_time,duration_minutes,distance_miles,start_hour,same_place
1.0541675207902556e+19,42.389415,-71.119372,42.38169868521032,-71.11374149416442,EAT,2023-06-26 05:58:48,2023-06-26 06:00:33,1,0.8463905713024861,5,No
1.5364314086627734e+19,42.372708,-71.116945,42.364998,-71.102425,EAT,2023-06-26 05:59:22,2023-06-26 06:02:41,3,1.7080664194865802,5,No
1.478870512535465e+19,42.372246000000004,-71.07982,42.37072671949961,-71.0813301173276,EAT,2023-06-26 06:01:18,2023-06-26 06:03:32,2,0.116250114963161,6,No
4.0059883572144113e+18,42.388388,-71.11823199999999,42.381528184039674,-71.1151322724366,EAT,2023-06-26 06:01:18,2023-06-26 06:03:05,1,0.96515654185164,6,No
1.805208530213752e+18,42.373371,-71.118965,42.38272320408442,-71.11508982644563,EAT,2023-06-26 06:08:48,2023-06-26 06:25:07,16,0.8454491637406341,6,No
8.547482979675376e+18,42.38192,-71.119949,42.37241865360808,-71.11631324605206,EAT,2023-06-26 06:10:57,2023-06-26 06:26:40,15,0.814106623589757,6,No
1.735326799689823e+19,42.375451,-71.149096,42.377584000000006,-71.147683,EAT,2023-06-26 06:12:58,2023-06-26 06:14:00,1,0.25110647180268003,6,No
3.9632193642000246e+18,42.388388,-71.11823199999999,42.38161963260123,-71.13634410701718,EAT,2023-06-26 06:16:25,2023-06-26 06:39:20,22,1.186813484440832,6,No
5.678119715107379e+18,42.388388,-71.11823199999999,42.398876994885995,-71.12915314681065,EAT,2023-06-26 06:17:25,2023-06-26 06:20:24,2,1.323212835820782,6,No
1.0434419504790243e+19,42.388388,-71.11823199999999,42.401048436645496,-71.13205997748744,EAT,2023-06-26 06:17:25,2023-06-26 06:40:19,22,1.186592561992374,6,No
1.5167372379032138e+19,42.373371,-71.118965,42.370394251424365,-71.1123111503269,EAT,2023-06-26 06:17:48,2023-06-26 06:26:29,8,0.4503583616370129,6,No
3.4391988075785887e+18,42.371281,-71.083318,42.37245599902504,-71.08611199163238,EAT,2023-06-26 06:18:24,2023-06-26 06:21:55,3,0.182934207680469,6,No
1.106482686764078e+19,42.363323,-71.08247,42.35901760627775,-71.11235949934894,EAT,2023-06-26 06:20:16,2023-06-26 06:27:36,7,3.119908181750965,6,No
1.0921304014641662e+19,42.368421000000005,-71.10920899999999,42.373559,-71.119619,EAT,2023-06-26 06:24:32,2023-06-26 06:39:05,14,0.7539476369284901,6,No
1.3101507842482067e+19,42.388388,-71.11823199999999,42.39921230079472,-71.12980239564081,EAT,2023-06-26 06:26:00,2023-06-26 06:52:59,26,1.3978337119107311,6,No
