tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time
1905,2019-10-10 00:20:06.8790,2019-10-10 00:51:52.3180,138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,37,New Balance - 20 Guest St,42.357329218677066,-71.14673539996147,4528,Subscriber,1989,1,255095,-71.06419128107342,42.32729362068927,85673,-71.1446383180627,42.35884236580605,1206.0,3112.0
725,2019-10-10 00:21:59.3380,2019-10-10 00:34:04.4660,361,Deerfield St at Commonwealth Ave,42.349243769553006,-71.09728209692548,179,MIT Vassar St,42.35560121327927,-71.10394477844237,3088,Subscriber,2001,1,1296,-71.09481625000001,42.3501653,55462,-71.10540071292246,42.35760154497996,1319.0,2044.0
437,2019-10-10 00:22:34.7210,2019-10-10 00:29:51.9170,334,Mass Ave at Hadley/Walden,42.39120971915856,-71.12260755160605,224,Fresh Pond Reservation,42.38267827521855,-71.143478951426,5379,Customer,1996,1,136051,-71.12197777073271,42.39197373045913,16940,-71.14226347617569,42.3821183912739,1354.0,1791.0
158,2019-10-10 00:24:43.3270,2019-10-10 00:27:21.4330,100,Davis Square,42.396969,-71.123024,114,Teele Square,42.40203828065014,-71.12653291489549,4812,Subscriber,1988,1,38845,-71.12324789295901,42.39504063458571,62581,-71.12679300423355,42.40174696519737,1483.0,1641.0
354,2019-10-10 00:25:06.1660,2019-10-10 00:31:00.2440,26,Washington St at Waltham St,42.3415598497246,-71.06886953115462,39,Washington St at Rutland St,42.338514601785995,-71.07404083013535,2755,Subscriber,1989,1,48601,-71.06830272565587,42.33955910936907,251335,-71.07518982775879,42.33995517170897,1506.0,1860.0
585,2019-10-10 00:27:00.5390,2019-10-10 00:36:45.9780,91,One Kendall Square at Hampshire St / Portland St,42.366277000000004,-71.09169,79,Beacon St at Washington / Kirkland,42.37842,-71.10566800000001,4120,Subscriber,1995,1,41317,-71.09404685103355,42.36621361611884,118038,-71.10448736864798,42.37761790120208,1620.0,2205.0
1109,2019-10-10 00:27:05.6320,2019-10-10 00:45:34.7070,52,Newbury St at Hereford St,42.348717,-71.085954,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,5845,Subscriber,1992,2,247516,-71.08542118378043,42.35133459152031,96554,-71.11377384085249,42.374838674153125,1625.0,2734.0
462,2019-10-10 00:28:53.8600,2019-10-10 00:36:35.9420,189,Kendall T,42.362427842912396,-71.08495473861693,179,MIT Vassar St,42.35560121327927,-71.10394477844237,4938,Subscriber,1986,1,245878,-71.08788993422861,42.36149681089946,158921,-71.10495202427623,42.357760573995435,1733.0,2195.0
187,2019-10-10 00:30:55.6520,2019-10-10 00:34:03.5600,23,Boston City Hall - 28 State St,42.35892,-71.057629,47,Cross St at Hanover St,42.362811,-71.056067,3043,Subscriber,1991,1,257262,-71.0566545216812,42.361016024956434,256117,-71.05428578920923,42.36440502635403,1855.0,2043.0
556,2019-10-10 00:33:00.4450,2019-10-10 00:42:17.3950,26,Washington St at Waltham St,42.3415598497246,-71.06886953115462,56,Dudley Square - Dudley St at Warren St,42.32984299351809,-71.08386572459494,2992,Subscriber,1988,2,254697,-71.07083319922853,42.341815908019704,28971,-71.08191768983521,42.328311910251124,1980.0,2537.0
