tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time,withinC,withinCend
232,06:21.6,10:14.4,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,221,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.11305356,807,Subscriber,1994,1,55432,-71.11867313,42.38019617,96621,-71.11522547,42.37040782,11181,11414,TRUE,TRUE
165,21:53.4,24:38.4,318,Ames St at Broadway,42.3636929,-71.0875672,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,3894,Subscriber,1990,1,28050,-71.08658655,42.36563097,258227,-71.09001502,42.3686592,12113,12278,TRUE,TRUE
480,55:30.5,03:31.4,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,6046,Subscriber,1997,2,63700,-71.10394099,42.37026964,225933,-71.11344194,42.35885213,17730,18211,TRUE,TRUE
405,19:58.7,26:44.6,179,MIT Vassar St,42.35560121,-71.10394478,189,Kendall T,42.36242784,-71.08495474,4988,Subscriber,1984,1,55721,-71.10285166,42.35797057,69948,-71.08561003,42.36408341,19198,19604,TRUE,TRUE
259,27:43.1,32:02.7,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,70,Harvard Kennedy School at Bennett St / Eliot St,42.3722168,-71.12188071,2283,Subscriber,1980,1,246656,-71.1183752,42.37894455,257075,-71.11999206,42.37317036,19663,19922,TRUE,TRUE
432,29:23.8,36:36.6,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,70,Harvard Kennedy School at Bennett St / Eliot St,42.3722168,-71.12188071,5940,Subscriber,1972,2,184829,-71.10224817,42.37069248,63531,-71.11862126,42.3726323,19763,20196,TRUE,TRUE
617,38:18.3,48:36.0,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,5951,Subscriber,1993,2,102902,-71.07314458,42.36996756,201814,-71.09067307,42.35941899,20298,20916,TRUE,TRUE
508,43:54.4,52:23.2,179,MIT Vassar St,42.35560121,-71.10394478,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,6137,Subscriber,1981,1,57395,-71.10681494,42.35689604,117899,-71.10418867,42.36250834,20634,21143,TRUE,TRUE
373,44:01.2,50:14.7,115,Porter Square Station,42.387995,-71.119084,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,2768,Subscriber,1989,2,259756,-71.1185793,42.3865201,121233,-71.11781045,42.373649,20641,21014,TRUE,TRUE
641,45:47.5,56:29.5,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,4303,Subscriber,1992,2,20588,-71.07724,42.3711805,201826,-71.09403266,42.36038414,20747,21389,TRUE,TRUE
827,52:16.8,06:04.6,139,Dana Park,42.36178044,-71.10809952,398,75 Binney St,42.36550729,-71.0801376,5206,Subscriber,1993,1,172872,-71.10793818,42.35920344,203466,-71.0812325,42.36473335,21136,21964,TRUE,TRUE
345,54:34.3,00:19.8,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,2557,Subscriber,1988,1,225654,-71.10441175,42.36844215,201815,-71.0930601,42.36038339,21274,21619,TRUE,TRUE
365,04:14.3,10:19.7,185,Third at Binney,42.36544486,-71.08277142,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,5388,Subscriber,1991,1,28450,-71.08171963,42.36761122,201804,-71.09277125,42.35952966,21854,22219,TRUE,TRUE
453,05:21.5,12:55.4,179,MIT Vassar St,42.35560121,-71.10394478,189,Kendall T,42.36242784,-71.08495474,3152,Subscriber,1987,1,35738,-71.10152115,42.35709535,69948,-71.08561003,42.36408341,21921,22375,TRUE,TRUE
287,09:57.8,14:45.7,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,3723,Subscriber,1995,2,183198,-71.09095189,42.36820772,201807,-71.09291774,42.35871045,22197,22485,TRUE,TRUE
696,13:18.3,24:54.8,189,Kendall T,42.36242784,-71.08495474,179,MIT Vassar St,42.35560121,-71.10394478,3152,Subscriber,1991,1,259920,-71.08765373,42.36325299,138435,-71.10703798,42.35517042,22398,23094,TRUE,TRUE
164,15:04.9,17:49.6,117,Binney St / Sixth St,42.36608797,-71.08633604,398,75 Binney St,42.36550729,-71.0801376,3631,Subscriber,1974,2,103015,-71.08414226,42.3681678,93155,-71.07977477,42.36787195,22504,22669,TRUE,TRUE
