activity_id,start_latitude,start_longitude,end_latitude,end_longitude,travel_purpose,start_t,Unnamed: 7,duration_minutes,distance_miles,start_hour,same_place,day,Unnamed: 13,Unnamed: 14,formatted_date_column
1.5e+19,42.388388,-71.11823199999999,42.36667453,-71.09647904,EAT,2022-10-12 06:19:00,,7,3.164841838,6,No,1,,,2022-10-12 06:19:00.000000
6.27e+17,42.372246000000004,-71.07982,42.36996725,-71.08106081,EAT,2022-10-12 06:19:00,,2,0.15004117,6,No,1,,,2022-10-12 06:19:00.000000
1.24e+19,42.373371,-71.118965,42.36959949,-71.09813021,EAT,2022-10-12 06:19:00,,3,1.676732603,6,No,1,,,2022-10-12 06:19:00.000000
4.46e+18,42.367713,-71.071562,42.36624241,-71.07850063,EAT,2022-10-12 06:23:00,,1,0.066975834,6,No,1,,,2022-10-12 06:23:00.000000
1.42e+19,42.373371,-71.118965,42.37867489,-71.15363739,EAT,2022-10-12 06:23:00,,5,2.6438339280000003,6,No,1,,,2022-10-12 06:23:00.000000
1.12e+19,42.373371,-71.118965,42.37703554,-71.15206779,EAT,2022-10-12 06:23:00,,5,2.429095463,6,No,1,,,2022-10-12 06:23:00.000000
1.43e+19,42.369817,-71.077794,42.370582,-71.0773,EAT,2022-10-12 06:25:00,,1,0.069421839,6,No,1,,,2022-10-12 06:25:00.000000
1.84e+19,42.369628000000006,-71.1114,42.369951799999996,-71.1131418,EAT,2022-10-12 06:25:00,,1,0.082046695,6,No,1,,,2022-10-12 06:25:00.000000
1.01e+18,42.373371,-71.118965,42.371219,-71.117438,EAT,2022-10-12 06:25:00,,2,0.119493596,6,No,1,,,2022-10-12 06:25:00.000000
1.76e+19,42.369628000000006,-71.1114,42.37038224,-71.1100387,EAT,2022-10-12 06:27:00,,1,0.080988312,6,No,1,,,2022-10-12 06:27:00.000000
7.05e+18,42.373371,-71.118965,42.365178,-71.10275899999999,EAT,2022-10-12 06:28:00,,3,1.3905059469999999,6,No,1,,,2022-10-12 06:28:00.000000
1.64e+19,42.365675,-71.103734,42.39253324,-71.12078758,EAT,2022-10-12 06:29:00,,15,2.932589032,6,No,1,,,2022-10-12 06:29:00.000000
5.49e+17,42.369859000000005,-71.06882399999999,42.371713,-71.07410300000001,EAT,2022-10-12 06:30:00,,6,0.360489647,6,No,1,,,2022-10-12 06:30:00.000000
4.7e+17,42.375451,-71.149096,42.37846105,-71.14984065,EAT,2022-10-12 06:32:00,,1,0.60008314,6,No,1,,,2022-10-12 06:32:00.000000
1.54e+19,42.371281,-71.083318,42.372399,-71.11943000000001,EAT,2022-10-12 06:33:00,,14,1.882754535,6,No,1,,,2022-10-12 06:33:00.000000
8.87e+18,42.369628000000006,-71.1114,42.37289438,-71.10385714,EAT,2022-10-12 06:34:00,,2,1.255574545,6,No,1,,,2022-10-12 06:34:00.000000
1.76e+19,42.362207,-71.087304,42.361889,-71.090546,EAT,2022-10-12 06:35:00,,5,0.26885185,6,No,1,,,2022-10-12 06:35:00.000000
1.52e+19,42.372246000000004,-71.07982,42.372997399999996,-71.07877302,EAT,2022-10-12 06:37:00,,7,0.413727154,6,No,1,,,2022-10-12 06:37:00.000000
1.52e+19,42.38192,-71.119949,42.363191,-71.104569,EAT,2022-10-12 06:40:00,,5,2.687902233,6,No,1,,,2022-10-12 06:40:00.000000
1.12e+19,42.388388,-71.11823199999999,42.365952,-71.082562,EAT,2022-10-12 06:42:00,,7,3.042257507,6,No,1,,,2022-10-12 06:42:00.000000
6.67e+18,42.371938,-71.075402,42.358764,-71.09635899999999,EAT,2022-10-12 06:42:00,,4,1.957977522,6,No,1,,,2022-10-12 06:42:00.000000
9.9e+18,42.371328999999996,-71.11647099999999,42.37241865,-71.11631325,EAT,2022-10-12 06:43:00,,5,0.286705792,6,No,1,,,2022-10-12 06:43:00.000000
8.34e+18,42.366118,-71.07826899999999,42.37145869,-71.10168944,EAT,2022-10-12 06:44:00,,5,2.499279616,6,No,1,,,2022-10-12 06:44:00.000000
2.49e+18,42.375451,-71.149096,42.37634381,-71.15295964,EAT,2022-10-12 06:47:00,,1,0.42039227100000004,6,No,1,,,2022-10-12 06:47:00.000000
1.01e+19,42.369628000000006,-71.1114,42.37024661,-71.11039509,EAT,2022-10-12 06:48:00,,2,0.119789887,6,No,1,,,2022-10-12 06:48:00.000000
5.63e+18,42.364909999999995,-71.08259,42.366419,-71.077299,EAT,2022-10-12 06:49:00,,1,0.07492462400000001,6,No,1,,,2022-10-12 06:49:00.000000
1.29e+19,42.361649,-71.09047,42.361889,-71.090546,EAT,2022-10-12 06:50:00,,8,0.402229803,6,No,1,,,2022-10-12 06:50:00.000000
6.27e+18,42.38192,-71.119949,42.37238,-71.08959899999999,EAT,2022-10-12 06:52:00,,6,2.367421975,6,No,1,,,2022-10-12 06:52:00.000000
1.35e+19,42.361649,-71.09047,42.360623,-71.08743,EAT,2022-10-12 06:52:00,,3,0.167201175,6,No,1,,,2022-10-12 06:52:00.000000
6.69e+18,42.365675,-71.103734,42.369707,-71.10141899999999,EAT,2022-10-12 06:53:00,,2,0.107619702,6,No,1,,,2022-10-12 06:53:00.000000
1.7e+19,42.388388,-71.11823199999999,42.391860799999996,-71.12352517,EAT,2022-10-12 06:54:00,,1,0.100003119,6,No,1,,,2022-10-12 06:54:00.000000
6.72e+18,42.388388,-71.11823199999999,42.389998,-71.11829200000001,EAT,2022-10-12 06:55:00,,4,0.210361794,6,No,1,,,2022-10-12 06:55:00.000000
1.45e+19,42.371959999999994,-71.075408,42.364369,-71.081379,EAT,2022-10-12 06:56:00,,2,1.0856375790000001,6,No,1,,,2022-10-12 06:56:00.000000
4.12e+18,42.388388,-71.11823199999999,42.36957924,-71.09994421,EAT,2022-10-12 06:57:00,,4,2.368102173,6,No,1,,,2022-10-12 06:57:00.000000
3.66e+18,42.38192,-71.119949,42.369345,-71.110752,EAT,2022-10-12 06:57:00,,2,1.210398723,6,No,1,,,2022-10-12 06:57:00.000000
1.89e+18,42.364025,-71.10085699999999,42.361329,-71.096228,EAT,2022-10-12 06:58:00,,3,0.156986114,6,No,1,,,2022-10-12 06:58:00.000000
1.46e+18,42.361649,-71.09047,42.35731286,-71.09384526,EAT,2022-10-12 06:59:00,,9,0.47557139,6,No,1,,,2022-10-12 06:59:00.000000
1.62e+19,42.371959999999994,-71.075408,42.386381799999995,-71.12616934,EAT,2022-10-12 07:00:00,,11,5.53452729,7,No,1,,,2022-10-12 07:00:00.000000
9.78e+18,42.362782,-71.09388,42.36507831,-71.10044141,EAT,2022-10-12 07:00:00,,1,0.071483828,7,No,1,,,2022-10-12 07:00:00.000000
1.05e+19,42.38192,-71.119949,42.39091868,-71.12538466,EAT,2022-10-12 07:01:00,,1,0.6947446,7,No,1,,,2022-10-12 07:01:00.000000
1.44e+19,42.384488,-71.11983000000001,42.39083554,-71.12425333,EAT,2022-10-12 07:01:00,,1,0.789104008,7,No,1,,,2022-10-12 07:01:00.000000
5.88e+18,42.390043,-71.118227,42.38672201,-71.11989319,EAT,2022-10-12 07:01:00,,6,0.311643634,7,No,1,,,2022-10-12 07:01:00.000000
