activity_id,start_latitude,start_longitude,end_latitude,end_longitude,travel_purpose,start_t,,duration_minutes,distance_miles,start_hour,same_place,day,,
1.54E+19,42.371281,-71.083318,42.372399,-71.11943,EAT,10/12/22 6:33,,14,1.882754535,6,No,1,,
8.87E+18,42.369628,-71.1114,42.37289438,-71.10385714,EAT,10/12/22 6:34,,2,1.255574545,6,No,1,,
1.76E+19,42.362207,-71.087304,42.361889,-71.090546,EAT,10/12/22 6:35,,5,0.26885185,6,No,1,,
1.52E+19,42.372246,-71.07982,42.3729974,-71.07877302,EAT,10/12/22 6:37,,7,0.413727154,6,No,1,,
1.52E+19,42.38192,-71.119949,42.363191,-71.104569,EAT,10/12/22 6:40,,5,2.687902233,6,No,1,,
1.12E+19,42.388388,-71.118232,42.365952,-71.082562,EAT,10/12/22 6:42,,7,3.042257507,6,No,1,,
6.67E+18,42.371938,-71.075402,42.358764,-71.096359,EAT,10/12/22 6:42,,4,1.957977522,6,No,1,,
9.90E+18,42.371329,-71.116471,42.37241865,-71.11631325,EAT,10/12/22 6:43,,5,0.286705792,6,No,1,,
8.34E+18,42.366118,-71.078269,42.37145869,-71.10168944,EAT,10/12/22 6:44,,5,2.499279616,6,No,1,,
2.49E+18,42.375451,-71.149096,42.37634381,-71.15295964,EAT,10/12/22 6:47,,1,0.420392271,6,No,1,,
1.01E+19,42.369628,-71.1114,42.37024661,-71.11039509,EAT,10/12/22 6:48,,2,0.119789887,6,No,1,,
5.63E+18,42.36491,-71.08259,42.366419,-71.077299,EAT,10/12/22 6:49,,1,0.074924624,6,No,1,,
1.29E+19,42.361649,-71.09047,42.361889,-71.090546,EAT,10/12/22 6:50,,8,0.402229803,6,No,1,,
6.27E+18,42.38192,-71.119949,42.37238,-71.089599,EAT,10/12/22 6:52,,6,2.367421975,6,No,1,,
1.35E+19,42.361649,-71.09047,42.360623,-71.08743,EAT,10/12/22 6:52,,3,0.167201175,6,No,1,,
6.69E+18,42.365675,-71.103734,42.369707,-71.101419,EAT,10/12/22 6:53,,2,0.107619702,6,No,1,,
1.70E+19,42.388388,-71.118232,42.3918608,-71.12352517,EAT,10/12/22 6:54,,1,0.100003119,6,No,1,,
6.72E+18,42.388388,-71.118232,42.389998,-71.118292,EAT,10/12/22 6:55,,4,0.210361794,6,No,1,,
1.45E+19,42.37196,-71.075408,42.364369,-71.081379,EAT,10/12/22 6:56,,2,1.085637579,6,No,1,,
4.12E+18,42.388388,-71.118232,42.36957924,-71.09994421,EAT,10/12/22 6:57,,4,2.368102173,6,No,1,,
3.66E+18,42.38192,-71.119949,42.369345,-71.110752,EAT,10/12/22 6:57,,2,1.210398723,6,No,1,,
1.89E+18,42.364025,-71.100857,42.361329,-71.096228,EAT,10/12/22 6:58,,3,0.156986114,6,No,1,,
1.46E+18,42.361649,-71.09047,42.35731286,-71.09384526,EAT,10/12/22 6:59,,9,0.47557139,6,No,1,,
1.62E+19,42.37196,-71.075408,42.3863818,-71.12616934,EAT,10/12/22 7:00,,11,5.53452729,7,No,1,,
9.78E+18,42.362782,-71.09388,42.36507831,-71.10044141,EAT,10/12/22 7:00,,1,0.071483828,7,No,1,,
1.05E+19,42.38192,-71.119949,42.39091868,-71.12538466,EAT,10/12/22 7:01,,1,0.6947446,7,No,1,,
1.44E+19,42.384488,-71.11983,42.39083554,-71.12425333,EAT,10/12/22 7:01,,1,0.789104008,7,No,1,,
5.88E+18,42.390043,-71.118227,42.38672201,-71.11989319,EAT,10/12/22 7:01,,6,0.311643634,7,No,1,,
1.23E+19,42.372484,-71.117852,42.374029,-71.114152,EAT,10/12/22 7:03,,2,0.862227277,7,No,1,,
1.24E+19,42.366069,-71.105366,42.36033466,-71.10854492,EAT,10/12/22 7:03,,1,0.659387077,7,No,1,,
9.10E+18,42.372246,-71.07982,42.385428,-71.128111,EAT,10/12/22 7:03,,9,3.958501617,7,No,1,,
7.35E+18,42.369725,-71.111874,42.37072942,-71.11053145,EAT,10/12/22 7:03,,3,0.173814942,7,No,1,,
1.56E+19,42.372484,-71.117852,42.378529,-71.123497,EAT,10/12/22 7:03,,2,0.923981727,7,No,1,,
1.13E+19,42.361649,-71.09047,42.360623,-71.08743,EAT,10/12/22 7:04,,1,0.08023913,7,No,1,,
1.45E+17,42.384488,-71.11983,42.39073079,-71.12620616,EAT,10/12/22 7:04,,2,0.932979378,7,No,1,,
4.16E+18,42.386094,-71.119577,42.39202509,-71.12622474,EAT,10/12/22 7:05,,2,0.832637409,7,No,1,,
1.27E+19,42.384488,-71.11983,42.39165921,-71.12459075,EAT,10/12/22 7:05,,1,0.75117617,7,No,1,,
1.36E+19,42.384488,-71.11983,42.39165921,-71.12459075,EAT,10/12/22 7:05,,1,0.646999259,7,No,1,,
1.68E+19,42.384488,-71.11983,42.36435779,-71.10046658,EAT,10/12/22 7:06,,5,2.384511303,7,No,1,,
2.97E+18,42.366069,-71.105366,42.36041365,-71.11086504,EAT,10/12/22 7:06,,1,0.599805076,7,No,1,,
1.52E+19,42.371777,-71.120631,42.372007,-71.118256,EAT,10/12/22 7:08,,2,0.124297437,7,No,1,,
2.16E+18,42.359066,-71.094744,42.36594338,-71.09917866,EAT,10/12/22 7:08,,2,0.839346228,7,No,1,,
1.12E+19,42.361649,-71.09047,42.35894005,-71.10823351,EAT,10/12/22 7:09,,28,1.444990902,7,No,1,,
5.71E+18,42.367958,-71.090294,42.37092075,-71.08969194,EAT,10/12/22 7:09,,2,0.119887651,7,No,1,,
8.71E+17,42.357745,-71.104273,42.35793572,-71.10963106,EAT,10/12/22 7:10,,2,0.133836336,7,No,1,,
4.97E+18,42.37196,-71.075408,42.36677032,-71.10667361,EAT,10/12/22 7:10,,25,2.140022807,7,No,1,,
1.78E+19,42.361649,-71.09047,42.360623,-71.08743,EAT,10/12/22 7:11,,2,0.711968786,7,No,1,,
1.03E+19,42.357745,-71.104273,42.40176833,-71.13344489,EAT,10/12/22 7:12,,9,4.067048633,7,No,1,,
1.69E+19,42.362782,-71.09388,42.36429262,-71.10058658,EAT,10/12/22 7:12,,1,0.09694826,7,No,1,,
5.69E+18,42.362782,-71.09388,42.36991781,-71.07327512,EAT,10/12/22 7:12,,11,1.78619529,7,No,1,,
9.81E+18,42.3734,-71.099827,42.357233,-71.106431,EAT,10/12/22 7:13,,20,1.499516637,7,No,1,,
9.41E+17,42.372484,-71.117852,42.38375115,-71.13445477,EAT,10/12/22 7:13,,4,2.171917383,7,No,1,,
6.51E+18,42.360789,-71.096565,42.389394,-71.119745,EAT,10/12/22 7:15,,7,2.645127042,7,No,1,,
1.79E+19,42.361649,-71.09047,42.360623,-71.08743,EAT,10/12/22 7:16,,1,0.101412307,7,No,1,,
2.73E+18,42.365244,-71.082333,42.368643,-71.09004,EAT,10/12/22 7:16,,12,0.65651981,7,No,1,,
4.23E+17,42.365028,-71.102423,42.377584,-71.147683,EAT,10/12/22 7:17,,6,3.09053316,7,No,1,,
1.78E+19,42.389362,-71.119548,42.38944898,-71.11968545,EAT,10/12/22 7:17,,1,0.069225747,7,No,1,,
8.34E+18,42.365028,-71.102423,42.35731286,-71.09384526,EAT,10/12/22 7:18,,4,1.920998857,7,No,1,,
1.36E+19,42.365028,-71.102423,42.35731286,-71.09384526,EAT,10/12/22 7:18,,3,1.119318222,7,No,1,,
1.02E+19,42.372441,-71.118977,42.37272016,-71.10276086,EAT,10/12/22 7:19,,5,2.110539037,7,No,1,,
1.48E+19,42.372484,-71.117852,42.37486424,-71.12076241,EAT,10/12/22 7:19,,3,1.435014462,7,No,1,,
1.33E+18,42.372441,-71.118977,42.3788163,-71.1203924,EAT,10/12/22 7:19,,3,1.058853322,7,No,1,,
1.26E+19,42.390043,-71.118227,42.37722677,-71.14627299,EAT,10/12/22 7:19,,3,1.788589475,7,No,1,,
1.67E+19,42.365244,-71.082333,42.3574016,-71.10638216,EAT,10/12/22 7:19,,4,1.680646341,7,No,1,,
4.68E+18,42.365244,-71.082333,42.3592099,-71.1108903,EAT,10/12/22 7:19,,5,2.344450907,7,No,1,,
4.86E+18,42.365244,-71.082333,42.354988,-71.103274,EAT,10/12/22 7:19,,5,1.766333484,7,No,1,,
1.14E+19,42.361649,-71.09047,42.35757767,-71.10592638,EAT,10/12/22 7:19,,4,1.729051366,7,No,1,,
9.14E+18,42.372027,-71.120423,42.37674903,-71.10794945,EAT,10/12/22 7:20,,3,1.294535839,7,No,1,,
5.59E+18,42.375451,-71.149096,42.37586099,-71.14779388,EAT,10/12/22 7:21,,2,0.140238314,7,No,1,,
9.29E+18,42.372246,-71.07982,42.398641,-71.133083,EAT,10/12/22 7:21,,12,5.351093011,7,No,1,,
1.45E+19,42.361649,-71.09047,42.362934,-71.082109,EAT,10/12/22 7:23,,1,0.682379766,7,No,1,,
4.39E+18,42.365244,-71.082333,42.365952,-71.082562,EAT,10/12/22 7:24,,5,0.29362119,7,No,1,,
7.97E+18,42.384488,-71.11983,42.382449,-71.120062,EAT,10/12/22 7:24,,3,0.179336299,7,No,1,,
2.32E+18,42.389362,-71.119548,42.375352,-71.10699,EAT,10/12/22 7:25,,22,2.168138946,7,No,1,,
4.70E+18,42.37175,-71.084037,42.372456,-71.08611199,EAT,10/12/22 7:25,,1,0.076535845,7,No,1,,
1.57E+19,42.374189,-71.121151,42.37578268,-71.15224963,EAT,10/12/22 7:25,,4,2.007699371,7,No,1,,
1.36E+19,42.372027,-71.120423,42.37619556,-71.10910822,EAT,10/12/22 7:26,,2,0.837291536,7,No,1,,
5.85E+18,42.365028,-71.102423,42.3628369,-71.0998704,EAT,10/12/22 7:26,,14,0.772814947,7,No,1,,
1.56E+19,42.365028,-71.102423,42.372456,-71.08611199,EAT,10/12/22 7:26,,4,1.670265345,7,No,1,,
9.55E+18,42.365028,-71.102423,42.3699518,-71.1131418,EAT,10/12/22 7:26,,14,0.756072922,7,No,1,,
9.22E+18,42.365028,-71.102423,42.3727033,-71.11081269,EAT,10/12/22 7:26,,1,0.612890616,7,No,1,,
1.36E+19,42.365028,-71.102423,42.3699518,-71.1131418,EAT,10/12/22 7:26,,16,0.859214439,7,No,1,,
8.95E+18,42.372027,-71.120423,42.36852761,-71.1081753,EAT,10/12/22 7:27,,1,0.539097704,7,No,1,,
4.04E+18,42.362782,-71.09388,42.370582,-71.0773,EAT,10/12/22 7:27,,5,1.990270084,7,No,1,,
4.44E+17,42.360789,-71.096565,42.3576039,-71.10705773,EAT,10/12/22 7:27,,2,0.996244702,7,No,1,,
2.67E+18,42.360789,-71.096565,42.35609748,-71.10904106,EAT,10/12/22 7:27,,13,0.711137598,7,No,1,,
1.28E+19,42.38192,-71.119949,42.37507907,-71.10971221,EAT,10/12/22 7:27,,6,1.056582072,7,No,1,,
2.03E+18,42.37196,-71.075408,42.371713,-71.074103,EAT,10/12/22 7:27,,2,0.14092543,7,No,1,,
8.37E+18,42.365028,-71.102423,42.35697656,-71.10697907,EAT,10/12/22 7:29,,2,0.728435617,7,No,1,,
3.87E+18,42.365028,-71.102423,42.35757767,-71.10592638,EAT,10/12/22 7:29,,3,1.197949326,7,No,1,,
7.08E+17,42.361649,-71.09047,42.38860181,-71.12208504,EAT,10/12/22 7:30,,11,4.462818743,7,No,1,,
6.40E+18,42.361649,-71.09047,42.3788163,-71.1203924,EAT,10/12/22 7:30,,8,3.387845757,7,No,1,,
9.85E+18,42.365244,-71.082333,42.3592099,-71.1108903,EAT,10/12/22 7:30,,4,1.684953746,7,No,1,,
1.21E+19,42.366069,-71.105366,42.35895332,-71.10904387,EAT,10/12/22 7:31,,2,0.818416444,7,No,1,,
1.26E+19,42.366069,-71.105366,42.35906831,-71.10849876,EAT,10/12/22 7:31,,4,0.832827373,7,No,1,,
1.18E+19,42.367947,-71.097843,42.36829326,-71.09776564,EAT,10/12/22 7:32,,1,0.066766868,7,No,1,,
